kind,resid_rms,resid_offset,g_T,b_T,d_alpha_T_read,delta_T,g_H,b_H,d_alpha_H_read,delta_H,g_P,b_P,d_alpha_P_read,delta_P
joint_vertex,1.9304198897389948e-07,1.1738202742759885e-06,1.0,1.0,-2.6853725680513964e-09,4.2097906632956607e-10,1.3032026241429062,-0.6452332270136241,4.173148210729524e-09,-1.6025711685368207e-10,1.0,-1.0,2.4669473696077875e-09,7.235237140397125e-11
joint_vertex,1.9303193001080035e-07,1.1718135135962705e-06,1.0,1.0,-2.677841556357787e-09,4.285100780231754e-10,1.3032026241429062,-0.6452332270136241,4.1734353677239735e-09,-1.5996995985923252e-10,1.0474278863206956,-0.03271033745252461,2.3780586667758953e-09,-1.6536331427920962e-11
joint_vertex,1.9268573400827027e-07,1.1558392715493697e-06,0.883070673556756,0.1251581552270682,-3.1314156039398064e-09,-2.506396955884392e-11,1.0,4.0,4.163380282152461e-09,-1.7002504543074503e-10,1.0,1.0,2.3480210055566278e-09,-4.657399264718844e-11
joint_vertex,1.9269584200744018e-07,1.157840863004585e-06,0.883070673556756,0.1251581552270682,-3.139785336270574e-09,-3.3433701889611286e-11,1.0,4.0,4.163044395528917e-09,-1.7036093205428943e-10,0.9525721136793044,0.03271033745252472,2.445328862804891e-09,5.073386460107482e-11
joint_vertex,1.9269039654988722e-07,1.1597089286803389e-06,0.883070673556756,0.1251581552270682,-3.1489171445762225e-09,-4.256551019525996e-11,1.0,4.0,4.163656995542281e-09,-1.6974833204092543e-10,1.0,-1.0,2.3480067479602523e-09,-4.6588250243563954e-11
joint_vertex,1.9268184766314906e-07,1.1577133695918618e-06,0.883070673556756,0.1251581552270682,-3.1405080530669265e-09,-3.415641868596403e-11,1.0,4.0,4.163949983935472e-09,-1.6945534364773444e-10,1.0474278863206956,-0.03271033745252461,2.2595113334571246e-09,-1.3508366474669166e-10
joint_vertex,1.9321788621141428e-07,1.1607478798278168e-06,0.883070673556756,0.1251581552270682,-3.827015393740267e-09,-7.206637593593044e-10,0.6967973758570938,0.6452332270136232,4.779526989341029e-09,4.4612166175782255e-10,1.0,1.0,2.301834046286853e-09,-9.276095191696325e-11
joint_vertex,1.9322495582821315e-07,1.1627499495802982e-06,0.883070673556756,0.1251581552270682,-3.835352979172511e-09,-7.290013447915488e-10,0.6967973758570938,0.6452332270136232,4.77925962726551e-09,4.458542996823041e-10,0.9525721136793044,0.03271033745252472,2.399171482712588e-09,4.576484508771716e-12
joint_vertex,1.9322377267103332e-07,1.1646184755584764e-06,0.883070673556756,0.1251581552270682,-3.84445950590955e-09,-7.381078715285875e-10,0.6967973758570938,0.6452332270136232,4.779940317484127e-09,4.4653498990092093e-10,1.0,-1.0,2.3018257726028554e-09,-9.276922560096082e-11
joint_vertex,1.9321792959025145e-07,1.162622438985914e-06,0.883070673556756,0.1251581552270682,-3.836082253268436e-09,-7.297306188874731e-10,0.6967973758570938,0.6452332270136232,4.780164796383374e-09,4.4675946880016763e-10,1.0474278863206956,-0.03271033745252461,2.2133031902534297e-09,-1.8129180795038655e-10
joint_vertex,1.942217503025724e-07,1.166724453098755e-06,0.883070673556756,0.1251581552270682,-4.573169397864679e-09,-1.4668177634837163e-09,1.0,-4.0,4.2088999372231766e-09,-1.245053903600295e-10,1.0,1.0,2.4540493871537156e-09,5.945438894989933e-11
joint_vertex,1.942302119297051e-07,1.1687273336123553e-06,0.883070673556756,0.1251581552270682,-4.581490632687666e-09,-1.4751389983067038e-09,1.0,-4.0,4.208567762427077e-09,-1.2483756515612906e-10,0.9525721136793044,0.03271033745252472,2.5514134135851626e-09,1.5681841538134634e-10
joint_vertex,1.9422778102165642e-07,1.1705965799925486e-06,0.883070673556756,0.1251581552270682,-4.590570779883149e-09,-1.4842191455021862e-09,1.0,-4.0,4.209178401530635e-09,-1.2422692605257073e-10,1.0,-1.0,2.454034116898323e-09,5.943911869450692e-11
joint_vertex,1.9422066146059758e-07,1.1685997367451997e-06,0.883070673556756,0.1251581552270682,-4.582210344727526e-09,-1.4758587103465636e-09,1.0,-4.0,4.20946793134262e-09,-1.2393739624058642e-10,1.0474278863206956,-0.03271033745252461,2.365487673004077e-09,-2.9107325199739397e-11
joint_vertex,1.9356652087934787e-07,1.1615378196745047e-06,0.883070673556756,0.1251581552270682,-3.869652585117352e-09,-7.633009507363892e-10,1.3032026241429062,-0.6452332270136241,3.867758023027476e-09,-4.656473045557302e-10,1.0,1.0,2.4538406781256096e-09,5.924567992179335e-11
joint_vertex,1.9357698144964167e-07,1.1635401431113389e-06,0.883070673556756,0.1251581552270682,-3.878002425005025e-09,-7.716507906240622e-10,1.3032026241429062,-0.6452332270136241,3.867388284705062e-09,-4.66017042878144e-10,0.9525721136793044,0.03271033745252472,2.5511757470278013e-09,1.5658074882398504e-10
joint_vertex,1.9357159532309404e-07,1.1654088674010504e-06,0.883070673556756,0.1251581552270682,-3.887108270317588e-09,-7.807566359366258e-10,1.3032026241429062,-0.6452332270136241,3.867962924929937e-09,-4.6544240265326943e-10,1.0,-1.0,2.453822419985742e-09,5.922742178192581e-11
joint_vertex,1.9356270363439502e-07,1.1634125796499656e-06,0.883070673556756,0.1251581552270682,-3.878719341090602e-09,-7.723677067096391e-10,1.3032026241429062,-0.6452332270136241,3.868289951586088e-09,-4.6511537599711775e-10,1.0474278863206956,-0.03271033745252461,2.365302437938134e-09,-2.929256026568239e-11
