time,humidity_wm_bme280
2025-08-11 22:00:00.229006+00:00,33.059183190850874
2025-08-11 22:00:01.388056+00:00,33.076992261902596
2025-08-11 22:00:02.166796+00:00,33.298814172048175
2025-08-11 22:00:03.362842+00:00,33.67269219439763
2025-08-11 22:00:03.964116+00:00,33.73102070678292
2025-08-11 22:00:04.579239+00:00,33.74871721922281
2025-08-11 22:00:04.997156+00:00,33.690303429546034
2025-08-11 22:00:05.305901+00:00,33.637468217948104
2025-08-11 22:00:05.696435+00:00,33.56152502737932
2025-08-11 22:00:06.271225+00:00,33.55010627294163
2025-08-11 22:00:06.729591+00:00,33.53842291774449
2025-08-11 22:00:07.196575+00:00,33.579226511373115
2025-08-11 22:00:07.890529+00:00,33.590822008902315
2025-08-11 22:00:08.365729+00:00,33.31643160368289
2025-08-11 22:00:08.778188+00:00,33.264035758227635
2025-08-11 22:00:09.479273+00:00,33.49735302477334
2025-08-11 22:00:09.966274+00:00,33.643484442203714
2025-08-11 22:00:10.831672+00:00,33.82482395238907
2025-08-11 22:00:11.471943+00:00,33.70791416265204
2025-08-11 22:00:11.880041+00:00,33.696231478887626
2025-08-11 22:00:12.340155+00:00,33.61436401478894
2025-08-11 22:00:12.798667+00:00,33.532669725448955
2025-08-11 22:00:13.229786+00:00,33.47425292222085
2025-08-11 22:00:13.829525+00:00,33.38653567679351
2025-08-11 22:00:14.225836+00:00,33.40999328896729
2025-08-11 22:00:14.829320+00:00,33.44504414732672
2025-08-11 22:00:15.279789+00:00,33.474342081258534
2025-08-11 22:00:16.168878+00:00,33.35750682775549
2025-08-11 22:00:16.646066+00:00,33.100268354628334
2025-08-11 22:00:17.110011+00:00,33.006977177867796
2025-08-11 22:00:17.554072+00:00,33.12373119916783
2025-08-11 22:00:18.087787+00:00,33.27571978127333
2025-08-11 22:00:18.455439+00:00,33.35741632952401
2025-08-11 22:00:19.005540+00:00,33.54435296664495
2025-08-11 22:00:19.532825+00:00,33.661183188695134
2025-08-11 22:00:19.872931+00:00,33.70782767096988
2025-08-11 22:00:20.241149+00:00,33.78960627971195
2025-08-11 22:00:20.646839+00:00,33.83057993825468
2025-08-11 22:00:21.289668+00:00,33.90075696800479
2025-08-11 22:00:21.782667+00:00,33.85402915747327
2025-08-11 22:00:22.257916+00:00,33.60259317103942
2025-08-11 22:00:22.776004+00:00,33.61445157767356
2025-08-11 22:00:23.123161+00:00,33.73703454092236
2025-08-11 22:00:23.408255+00:00,33.79527652700899
2025-08-11 22:00:23.805038+00:00,33.89457860720248
2025-08-11 22:00:24.164413+00:00,33.92403663038499
2025-08-11 22:00:24.627439+00:00,33.929541733245806
2025-08-11 22:00:25.026271+00:00,33.95299025165112
2025-08-11 22:00:25.383152+00:00,33.92403663038499
2025-08-11 22:00:25.909379+00:00,33.68446199582936
2025-08-11 22:00:26.418044+00:00,33.480005544497004
2025-08-11 22:00:26.918473+00:00,33.357325820532104
2025-08-11 22:00:27.311777+00:00,33.35741632952401
2025-08-11 22:00:27.596159+00:00,33.375032369605606
2025-08-11 22:00:28.162345+00:00,33.48593636249956
2025-08-11 22:00:28.829263+00:00,33.696231478887626
2025-08-11 22:00:29.363616+00:00,33.86545711734906
2025-08-11 22:00:29.888167+00:00,33.94731665826026
2025-08-11 22:00:30.422827+00:00,33.959082232960924
2025-08-11 22:00:31.291488+00:00,33.91227053459662
2025-08-11 22:00:31.959051+00:00,33.89500035446299
2025-08-11 22:00:32.418460+00:00,33.976604899868065
2025-08-11 22:00:33.080907+00:00,34.069975269021064
2025-08-11 22:00:33.604060+00:00,34.128382588361845
2025-08-11 22:00:33.966019+00:00,34.1516638223526
2025-08-11 22:00:34.511958+00:00,34.13998238389169
2025-08-11 22:00:35.042076+00:00,34.11077861353409
2025-08-11 22:00:35.504189+00:00,34.017407830516326
2025-08-11 22:00:35.781082+00:00,33.976438064510845
2025-08-11 22:00:36.215292+00:00,34.02333157363847
2025-08-11 22:00:36.687856+00:00,34.069975269021064
2025-08-11 22:00:37.354363+00:00,34.03501314253972
2025-08-11 22:00:37.945453+00:00,33.80721536705669
2025-08-11 22:00:38.556976+00:00,33.83650606428447
2025-08-11 22:00:39.110795+00:00,33.46823270288007
2025-08-11 22:00:39.804583+00:00,33.50328376747534
2025-08-11 22:00:40.096931+00:00,33.53842291774449
2025-08-11 22:00:40.354158+00:00,33.55559489835013
2025-08-11 22:00:40.549387+00:00,33.555771438498496
2025-08-11 22:00:40.881048+00:00,33.415745284195836
2025-08-11 22:00:41.326925+00:00,33.258102095156104
2025-08-11 22:00:41.571309+00:00,33.18762632919169
2025-08-11 22:00:41.832918+00:00,33.205246023919884
2025-08-11 22:00:42.133952+00:00,33.33368536125621
2025-08-11 22:00:42.388203+00:00,33.409723537657136
2025-08-11 22:00:42.559992+00:00,33.491333115477886
2025-08-11 22:00:42.917242+00:00,33.57905052837473
2025-08-11 22:00:43.205575+00:00,33.637730167738894
2025-08-11 22:00:43.478257+00:00,33.68446199582936
2025-08-11 22:00:43.786820+00:00,33.695884912016865
2025-08-11 22:00:44.089894+00:00,33.66676368202383
2025-08-11 22:00:44.316984+00:00,33.63171388809585
2025-08-11 22:00:44.563341+00:00,33.637555545304224
2025-08-11 22:00:44.884692+00:00,33.64915163640222
2025-08-11 22:00:45.195147+00:00,33.64906443218878
2025-08-11 22:00:45.577399+00:00,33.643397192557785
2025-08-11 22:00:46.052927+00:00,33.672605279503294
2025-08-11 22:00:46.718081+00:00,33.812971238138324
2025-08-11 22:00:47.209479+00:00,33.83625100766262
2025-08-11 22:00:47.579994+00:00,33.79527652700899
2025-08-11 22:00:47.982925+00:00,33.76624116201576
2025-08-11 22:00:48.380567+00:00,33.61418885674181
2025-08-11 22:00:48.580113+00:00,33.625872220932656
2025-08-11 22:00:48.864845+00:00,33.66092207458954
2025-08-11 22:00:49.129354+00:00,33.66650267193682
2025-08-11 22:00:49.341565+00:00,33.66083501503616
2025-08-11 22:00:49.597034+00:00,33.61392603897638
2025-08-11 22:00:49.904868+00:00,33.61985547663423
2025-08-11 22:00:50.135159+00:00,33.66083501503616
2025-08-11 22:00:50.356375+00:00,33.70748159665235
2025-08-11 22:00:50.560459+00:00,33.73084818369011
2025-08-11 22:00:51.020755+00:00,33.643484442203714
2025-08-11 22:00:51.401286+00:00,33.56745500178571
2025-08-11 22:00:51.754854+00:00,33.56152502737932
2025-08-11 22:00:52.075689+00:00,33.579226511373115
2025-08-11 22:00:52.423356+00:00,33.590822008902315
2025-08-11 22:00:52.890924+00:00,33.550017962811935
2025-08-11 22:00:53.308382+00:00,33.53231565995271
2025-08-11 22:00:53.629446+00:00,33.60259317103942
2025-08-11 22:00:54.548033+00:00,33.742703672781026
2025-08-11 22:00:55.220161+00:00,33.78376501521945
2025-08-11 22:00:55.654706+00:00,33.81280063256491
2025-08-11 22:00:56.276283+00:00,33.84784857489666
2025-08-11 22:00:57.082223+00:00,33.88289615885494
2025-08-11 22:00:57.290993+00:00,33.90626101573076
2025-08-11 22:00:57.505977+00:00,33.88865293933857
2025-08-11 22:00:57.922860+00:00,33.871129021195486
2025-08-11 22:00:58.174058+00:00,33.894494225476166
2025-08-11 22:00:58.438093+00:00,33.90025117611536
2025-08-11 22:00:58.762558+00:00,33.88856847991291
2025-08-11 22:00:59.001497+00:00,33.865287695237704
2025-08-11 22:00:59.218673+00:00,33.876631899413795
2025-08-11 22:00:59.452882+00:00,33.87688574388935
2025-08-11 22:00:59.827275+00:00,33.88272711687877
2025-08-11 22:01:00.119401+00:00,33.88848400972913
2025-08-11 22:01:00.931977+00:00,33.74261755050855
2025-08-11 22:01:01.390459+00:00,33.71933770096554
2025-08-11 22:01:01.892312+00:00,33.85953114270203
2025-08-11 22:01:02.365402+00:00,33.947065352737496
2025-08-11 22:01:02.728870+00:00,33.90626101573076
2025-08-11 22:01:03.109770+00:00,33.71968315362703
2025-08-11 22:01:03.394439+00:00,33.64923882985652
2025-08-11 22:01:03.804101+00:00,33.69021672625888
2025-08-11 22:01:04.181022+00:00,33.58489234212977
2025-08-11 22:01:04.554144+00:00,33.43920236248548
2025-08-11 22:01:05.148709+00:00,33.46814344460506
2025-08-11 22:01:05.537756+00:00,33.49160011909528
2025-08-11 22:01:05.934142+00:00,33.52072050972122
2025-08-11 22:01:06.238349+00:00,33.56754312181241
2025-08-11 22:01:06.538229+00:00,33.643484442203714
2025-08-11 22:01:07.262859+00:00,33.84200727606175
2025-08-11 22:01:07.780827+00:00,33.88298066370584
2025-08-11 22:01:08.438116+00:00,33.96483958570818
2025-08-11 22:01:08.918855+00:00,33.97068054161543
2025-08-11 22:01:09.377510+00:00,34.0114009006179
2025-08-11 22:01:09.819142+00:00,34.00572606801729
2025-08-11 22:01:10.552409+00:00,33.98236242356683
2025-08-11 22:01:11.363343+00:00,34.046612062562595
2025-08-11 22:01:11.805070+00:00,34.069975269021064
2025-08-11 22:01:12.056917+00:00,34.069975269021064
2025-08-11 22:01:12.312994+00:00,34.063887193021536
2025-08-11 22:01:12.628144+00:00,34.040605851795604
2025-08-11 22:01:12.856228+00:00,34.02283415145074
2025-08-11 22:01:13.080467+00:00,34.011649964920686
2025-08-11 22:01:13.474325+00:00,33.98812006042883
2025-08-11 22:01:13.696882+00:00,34.00555988051791
2025-08-11 22:01:13.961493+00:00,33.92979364122308
2025-08-11 22:01:14.622659+00:00,33.88314964113325
2025-08-11 22:01:15.287371+00:00,33.883234113709776
2025-08-11 22:01:15.639717+00:00,33.91227053459662
2025-08-11 22:01:16.002300+00:00,33.9123546832266
2025-08-11 22:01:16.371702+00:00,33.70782767096988
2025-08-11 22:01:16.760547+00:00,33.561965908485035
2025-08-11 22:01:17.127234+00:00,33.42751876294061
2025-08-11 22:01:17.943024+00:00,33.31077161151662
2025-08-11 22:01:18.303595+00:00,33.205615045764716
2025-08-11 22:01:18.635199+00:00,33.21136498945179
2025-08-11 22:01:18.936896+00:00,33.08264734022457
2025-08-11 22:01:19.138407+00:00,32.99510292767856
2025-08-11 22:01:19.355416+00:00,33.006977177867796
2025-08-11 22:01:19.819706+00:00,33.04184351560854
2025-08-11 22:01:20.053693+00:00,33.146914578597524
2025-08-11 22:01:20.413159+00:00,33.345732451263345
2025-08-11 22:01:20.646893+00:00,33.43911279093916
2025-08-11 22:01:20.953983+00:00,33.5853318841636
2025-08-11 22:01:21.712448+00:00,33.77818077345256
2025-08-11 22:01:21.980743+00:00,33.813227065810246
2025-08-11 22:01:22.209045+00:00,33.84801837714701
2025-08-11 22:01:22.425263+00:00,33.84801837714701
2025-08-11 22:01:22.630332+00:00,33.84217721219813
2025-08-11 22:01:22.848383+00:00,33.853859532141506
2025-08-11 22:01:23.493459+00:00,33.84234710530131
2025-08-11 22:01:23.765172+00:00,33.80721536705669
2025-08-11 22:01:24.096586+00:00,33.842092249509086
2025-08-11 22:01:24.334465+00:00,33.82465365762534
2025-08-11 22:01:24.701015+00:00,33.84801837714701
2025-08-11 22:01:24.930535+00:00,33.847933481400965
2025-08-11 22:01:25.153168+00:00,33.84200727606175
