time,temperature_wm_bme280
2025-03-20 23:00:00.230054+00:00,21.663945798907662
2025-03-20 23:00:01.375356+00:00,21.65364557542489
2025-03-20 23:00:01.978171+00:00,21.64849546412006
2025-03-20 23:00:02.699461+00:00,21.64849546412006
2025-03-20 23:00:04.068090+00:00,21.64849546412006
2025-03-20 23:00:05.350045+00:00,21.64849546412006
2025-03-20 23:00:05.952763+00:00,21.64849546412006
2025-03-20 23:00:07.200058+00:00,21.658795687020756
2025-03-20 23:00:07.823839+00:00,21.65364557542489
2025-03-20 23:00:08.552184+00:00,21.64849546412006
2025-03-20 23:00:09.421780+00:00,21.65364557542489
2025-03-20 23:00:10.918415+00:00,21.64849546412006
2025-03-20 23:00:11.344588+00:00,21.64849546412006
2025-03-20 23:00:11.810679+00:00,21.638195242383517
2025-03-20 23:00:12.210511+00:00,21.658795687020756
2025-03-20 23:00:12.602387+00:00,21.64334535310627
2025-03-20 23:00:12.935657+00:00,21.64849546412006
2025-03-20 23:00:13.406597+00:00,21.638195242383517
2025-03-20 23:00:13.683740+00:00,21.669095911085606
2025-03-20 23:00:14.010669+00:00,21.663945798907662
2025-03-20 23:00:14.345004+00:00,21.64849546412006
2025-03-20 23:00:15.018030+00:00,21.658795687020756
2025-03-20 23:00:15.447864+00:00,21.64334535310627
2025-03-20 23:00:15.878266+00:00,21.658795687020756
2025-03-20 23:00:16.319978+00:00,21.65364557542489
2025-03-20 23:00:16.991007+00:00,21.65364557542489
2025-03-20 23:00:17.429662+00:00,21.65364557542489
2025-03-20 23:00:17.968036+00:00,21.669095911085606
2025-03-20 23:00:18.636565+00:00,21.658795687020756
2025-03-20 23:00:19.193692+00:00,21.658795687020756
2025-03-20 23:00:19.685719+00:00,21.65364557542489
2025-03-20 23:00:20.279479+00:00,21.65364557542489
2025-03-20 23:00:20.854786+00:00,21.64334535310627
2025-03-20 23:00:21.319796+00:00,21.65364557542489
2025-03-20 23:00:21.897972+00:00,21.65364557542489
2025-03-20 23:00:22.453795+00:00,21.64334535310627
2025-03-20 23:00:22.820936+00:00,21.65364557542489
2025-03-20 23:00:23.251519+00:00,21.64849546412006
2025-03-20 23:00:23.678136+00:00,21.65364557542489
2025-03-20 23:00:24.362915+00:00,21.64849546412006
2025-03-20 23:00:24.700700+00:00,21.658795687020756
2025-03-20 23:00:25.069765+00:00,21.658795687020756
