time,pressure_wm_bme280
2025-03-26 23:00:00.375321+00:00,989.5032505116595
2025-03-26 23:00:01.796698+00:00,989.5591665178533
2025-03-26 23:00:02.661247+00:00,989.4986232801975
2025-03-26 23:00:04.409401+00:00,989.5428733819816
2025-03-26 23:00:05.644310+00:00,989.5906415339855
2025-03-26 23:00:06.226993+00:00,989.5708309457551
2025-03-26 23:00:06.769381+00:00,989.5428733819816
2025-03-26 23:00:07.840244+00:00,989.5149158375026
2025-03-26 23:00:08.421659+00:00,989.574347627051
2025-03-26 23:00:09.026572+00:00,989.5987885288229
2025-03-26 23:00:09.778655+00:00,989.5067695450614
2025-03-26 23:00:10.121884+00:00,989.5510199361305
2025-03-26 23:00:10.599541+00:00,989.5428733819816
2025-03-26 23:00:10.935631+00:00,989.5510199361305
2025-03-26 23:00:11.315142+00:00,989.5149158375026
2025-03-26 23:00:11.797379+00:00,989.5428733819816
2025-03-26 23:00:12.156353+00:00,989.5428733819816
2025-03-26 23:00:12.497883+00:00,989.5987885288229
2025-03-26 23:00:12.805019+00:00,989.5789777340366
2025-03-26 23:00:13.363852+00:00,989.6069355512376
2025-03-26 23:00:13.982497+00:00,989.5149158375026
2025-03-26 23:00:14.321825+00:00,989.5789777340366
2025-03-26 23:00:15.400565+00:00,989.5708309457551
2025-03-26 23:00:15.780888+00:00,989.5347268554086
2025-03-26 23:00:16.122323+00:00,989.6104517008247
2025-03-26 23:00:16.472695+00:00,989.5545374519236
2025-03-26 23:00:16.880773+00:00,989.5067695450614
2025-03-26 23:00:17.489565+00:00,989.5952713933215
2025-03-26 23:00:17.910411+00:00,989.5347268554086
2025-03-26 23:00:18.352374+00:00,989.4986232801975
2025-03-26 23:00:18.904567+00:00,989.5626841850499
2025-03-26 23:00:19.239134+00:00,989.5347268554086
2025-03-26 23:00:19.617221+00:00,989.5463907463785
2025-03-26 23:00:19.939473+00:00,989.4788122540081
2025-03-26 23:00:20.369334+00:00,989.5708309457551
2025-03-26 23:00:20.752181+00:00,989.5230621575191
2025-03-26 23:00:21.284179+00:00,989.5149158375026
2025-03-26 23:00:21.722824+00:00,989.5871245498926
2025-03-26 23:00:22.110418+00:00,989.5626841850499
2025-03-26 23:00:22.504849+00:00,989.5906415339855
2025-03-26 23:00:22.980283+00:00,989.5626841850499
2025-03-26 23:00:23.334613+00:00,989.5149158375026
2025-03-26 23:00:23.814404+00:00,989.5510199361305
2025-03-26 23:00:24.321694+00:00,989.5871245498926
2025-03-26 23:00:24.719157+00:00,989.5789777340366
2025-03-26 23:00:25.219429+00:00,989.5510199361305
2025-03-26 23:00:25.679367+00:00,989.5871245498926
2025-03-26 23:00:26.054906+00:00,989.575459764012
2025-03-26 23:00:26.455068+00:00,989.486958312318
2025-03-26 23:00:26.963436+00:00,989.5032505116595
2025-03-26 23:00:27.272281+00:00,989.4951043982026
2025-03-26 23:00:27.631416+00:00,989.5591665178533
2025-03-26 23:00:28.003799+00:00,989.5510199361305
2025-03-26 23:00:28.536495+00:00,989.5032505116595
2025-03-26 23:00:28.954059+00:00,989.5952713933215
2025-03-26 23:00:29.296573+00:00,989.5673131271483
2025-03-26 23:00:29.624500+00:00,989.4752925375053
2025-03-26 23:00:30.043590+00:00,989.5475012829997
2025-03-26 23:00:30.356233+00:00,989.5312085051088
2025-03-26 23:00:30.898502+00:00,989.486958312318
2025-03-26 23:00:31.395931+00:00,989.4834384444002
2025-03-26 23:00:31.821035+00:00,989.5591665178533
2025-03-26 23:00:32.151489+00:00,989.5871245498926
2025-03-26 23:00:32.629877+00:00,989.5708309457551
2025-03-26 23:00:33.088188+00:00,989.6034182643199
2025-03-26 23:00:33.551880+00:00,989.486958312318
2025-03-26 23:00:34.018799+00:00,989.4951043982026
2025-03-26 23:00:34.367152+00:00,989.5230621575191
2025-03-26 23:00:34.744762+00:00,989.5312085051088
2025-03-26 23:00:35.571800+00:00,989.5673131271483
2025-03-26 23:00:36.170669+00:00,989.5312085051088
2025-03-26 23:00:36.554780+00:00,989.4951043982026
2025-03-26 23:00:36.971685+00:00,989.5312085051088
2025-03-26 23:00:37.461360+00:00,989.5312085051088
2025-03-26 23:00:37.821152+00:00,989.5591665178533
2025-03-26 23:00:38.271125+00:00,989.575459764012
2025-03-26 23:00:38.824778+00:00,989.5393548802701
2025-03-26 23:00:39.363305+00:00,989.5673131271483
2025-03-26 23:00:39.838866+00:00,989.5312085051088
2025-03-26 23:00:40.229041+00:00,989.5673131271483
2025-03-26 23:00:40.502563+00:00,989.4752925375053
2025-03-26 23:00:40.741238+00:00,989.5032505116595
2025-03-26 23:00:40.986280+00:00,989.4997303408902
2025-03-26 23:00:41.302826+00:00,989.5312085051088
2025-03-26 23:00:41.558994+00:00,989.5510199361305
2025-03-26 23:00:41.754792+00:00,989.6313767839234
2025-03-26 23:00:42.042472+00:00,989.6197120890181
2025-03-26 23:00:42.280262+00:00,989.5591665178533
2025-03-26 23:00:42.506135+00:00,989.5393548802701
2025-03-26 23:00:42.740829+00:00,989.5475012829997
2025-03-26 23:00:43.125669+00:00,989.5673131271483
2025-03-26 23:00:43.458949+00:00,989.5032505116595
2025-03-26 23:00:43.725143+00:00,989.6232296787903
2025-03-26 23:00:43.996890+00:00,989.5475012829997
2025-03-26 23:00:44.296117+00:00,989.5952713933215
2025-03-26 23:00:44.601578+00:00,989.5393548802701
2025-03-26 23:00:44.929849+00:00,989.5312085051088
2025-03-26 23:00:45.176591+00:00,989.5673131271483
2025-03-26 23:00:45.512803+00:00,989.5312085051088
2025-03-26 23:00:45.838412+00:00,989.5475012829997
2025-03-26 23:00:46.246697+00:00,989.5871245498926
2025-03-26 23:00:46.700113+00:00,989.5032505116595
2025-03-26 23:00:47.021563+00:00,989.5230621575191
2025-03-26 23:00:47.345801+00:00,989.5113966526874
2025-03-26 23:00:47.711595+00:00,989.4951043982026
2025-03-26 23:00:48.139480+00:00,989.5032505116595
2025-03-26 23:00:48.400987+00:00,989.5475012829997
2025-03-26 23:00:48.626189+00:00,989.5393548802701
2025-03-26 23:00:48.942517+00:00,989.5475012829997
2025-03-26 23:00:49.170864+00:00,989.5393548802701
2025-03-26 23:00:49.394977+00:00,989.6115651628862
2025-03-26 23:00:49.636225+00:00,989.5673131271483
2025-03-26 23:00:50.137833+00:00,989.5475012829997
2025-03-26 23:00:50.421063+00:00,989.5475012829997
2025-03-26 23:00:50.655308+00:00,989.5195428212833
2025-03-26 23:00:50.897398+00:00,989.5475012829997
2025-03-26 23:00:51.101056+00:00,989.5276890174453
2025-03-26 23:00:51.431959+00:00,989.5393548802701
2025-03-26 23:00:51.708154+00:00,989.5358352411708
2025-03-26 23:00:51.984081+00:00,989.5871245498926
2025-03-26 23:00:52.209107+00:00,989.5265803564137
2025-03-26 23:00:52.576038+00:00,989.575459764012
2025-03-26 23:00:52.878215+00:00,989.5591665178533
2025-03-26 23:00:53.262072+00:00,989.5312085051088
2025-03-26 23:00:53.481517+00:00,989.4752925375053
2025-03-26 23:00:53.725692+00:00,989.5475012829997
2025-03-26 23:00:54.025569+00:00,989.5393548802701
2025-03-26 23:00:54.299465+00:00,989.5312085051088
2025-03-26 23:00:54.499978+00:00,989.5708309457551
2025-03-26 23:00:54.692446+00:00,989.5312085051088
2025-03-26 23:00:55.196327+00:00,989.5591665178533
2025-03-26 23:00:55.812133+00:00,989.5149158375026
2025-03-26 23:00:56.046629+00:00,989.5871245498926
2025-03-26 23:00:56.325168+00:00,989.5591665178533
2025-03-26 23:00:56.726309+00:00,989.5149158375026
2025-03-26 23:00:56.952038+00:00,989.5230621575191
2025-03-26 23:00:57.150912+00:00,989.5032505116595
2025-03-26 23:00:57.372088+00:00,989.5149158375026
2025-03-26 23:00:57.643115+00:00,989.5032505116595
2025-03-26 23:00:57.950720+00:00,989.5149158375026
2025-03-26 23:00:58.270257+00:00,989.490477042914
2025-03-26 23:00:58.497983+00:00,989.5149158375026
