time,counts_ratio,humidity,temperature,pressure,n_1762
2025-01-01 00:06:26.245654+00:00,2.2584878,33.534543510424314,17.703595700324513,997.1939522690438,1.0002671057930728
2025-01-01 00:07:29.663835+00:00,2.2584868,33.665752132190065,17.698445812246064,997.3246163018376,1.000267587708732
2025-01-01 00:08:43.784892+00:00,2.2584874,33.688624760180936,17.693295924458653,997.3997160419964,1.0002673468574717
2025-01-01 00:16:32.572062+00:00,2.2584878,33.574389500077835,17.708745588694,997.202194967188,1.0002671028698735
2025-01-01 00:18:24.736321+00:00,2.2584884,33.700423145489495,17.66239660384599,997.016893278246,1.0002668298905284
2025-01-01 00:34:11.246644+00:00,2.2584869,33.83161110576258,17.65724671809585,997.028189437239,1.0002675011282405
2025-01-01 00:43:28.169343+00:00,2.2584868,33.93998861597984,17.652096832636744,997.167085332761,1.0002675868374102
2025-01-01 00:48:02.460280+00:00,2.2584879,33.814701958209426,17.64179706259165,997.0394847987532,1.0002670759329184
2025-01-01 01:10:05.420114+00:00,2.2584876,33.740526969995656,17.646946947468678,996.8810535158408,1.0002671618642118
2025-01-01 01:11:47.748144+00:00,2.2584876,33.3586171947976,17.64179706259165,996.8450344843416,1.0002671598734405
2025-01-01 01:34:26.697966+00:00,2.2584876,33.826874537473486,17.579998466768302,997.0208624551055,1.000267261828079
2025-01-01 01:34:51.930325+00:00,2.2584869,33.399150768919455,17.595448111795122,996.9930858475122,1.0002675530369705
2025-01-01 01:57:21.049390+00:00,2.258488,33.72984486559407,17.590298229828477,997.0764157274072,1.0002670906638529
2025-01-01 02:22:06.282236+00:00,2.2584879,33.95790610532662,17.574848585674772,996.9323431237244,1.000267108992167
2025-01-01 02:26:19.509914+00:00,2.2584881,33.69590674988669,17.56969870487228,996.832534790549,1.000267000339396
2025-01-01 03:17:53.207341+00:00,2.2584868,33.83315120122272,17.528499668929726,996.0527463973284,1.000267403834175
2025-01-01 03:18:33.658437+00:00,2.2584868,33.52558096055105,17.51819991285447,996.0362776000484,1.0002674113721837
2025-01-02 14:26:32.729874+00:00,2.2584869,34.73821789907789,19.22797536442522,982.1288399834492,1.000262034361345
2025-01-02 14:27:12.467232+00:00,2.2584868,34.492440334549826,19.212525442620972,982.0407471127324,1.000262071276126
2025-01-02 14:33:20.508403+00:00,2.2584869,34.670958705574144,19.104376063332893,982.2045740445806,1.0002621687543474
2025-01-02 14:33:34.691879+00:00,2.2584868,34.68228079573047,19.104376063332893,982.093241003312,1.0002621831308929
2025-01-02 14:34:50.511045+00:00,2.2584869,35.24278358734128,19.099226096092025,982.1686351049108,1.000262159189181
2025-01-02 14:35:15.455870+00:00,2.2584876,34.648200839297964,19.094076129142195,982.1326966805444,1.0002618491316964
2025-01-02 14:45:07.228248+00:00,2.2584871,34.81985131469243,19.08377619611565,982.0886536742772,1.0002620668449511
