time,counts_ratio
2025-08-16 00:00:13.573079+00:00,2.2584864
2025-08-16 00:00:21.655997+00:00,2.258487
2025-08-16 00:00:36.080508+00:00,2.2584862
2025-08-16 00:00:48.871678+00:00,2.2584863
2025-08-16 00:01:14.159014+00:00,2.2584871
2025-08-16 00:01:27.181334+00:00,2.2584874
2025-08-16 00:01:40.297678+00:00,2.258488
2025-08-16 00:02:06.273628+00:00,2.2584879
2025-08-16 00:02:19.406446+00:00,2.2584873
2025-08-16 00:02:32.261287+00:00,2.2584875
2025-08-16 00:02:44.975071+00:00,2.2584868
2025-08-16 00:02:57.672535+00:00,2.2584875
2025-08-16 00:03:35.723324+00:00,2.2584876
2025-08-16 00:03:50.894685+00:00,2.2584872
2025-08-16 00:04:14.523229+00:00,2.2584871
2025-08-16 00:04:26.527859+00:00,2.2584879
2025-08-16 00:04:54.652844+00:00,2.258486
2025-08-16 00:05:05.816820+00:00,2.2584875
2025-08-16 00:05:18.211820+00:00,2.2584879
2025-08-16 00:05:45.396750+00:00,2.258487
2025-08-16 00:06:21.417102+00:00,2.2584858
2025-08-16 00:06:34.968048+00:00,2.2584875
2025-08-16 00:07:13.130559+00:00,2.2584874
2025-08-16 00:07:25.891797+00:00,2.2584867
2025-08-16 00:07:38.930191+00:00,2.2584872
2025-08-16 00:07:52.547546+00:00,2.2584876
2025-08-16 00:08:05.343568+00:00,2.2584876
2025-08-16 00:08:19.685130+00:00,2.2584871
2025-08-16 00:08:31.774987+00:00,2.2584871
2025-08-16 00:08:44.741783+00:00,2.258487
2025-08-16 00:08:57.858758+00:00,2.2584871
2025-08-16 00:09:10.966382+00:00,2.2584883
2025-08-16 00:09:23.863055+00:00,2.2584869
2025-08-16 00:09:49.822517+00:00,2.2584869
2025-08-16 00:10:03.427940+00:00,2.2584874
2025-08-16 00:10:28.888439+00:00,2.2584871
2025-08-16 00:10:42.972824+00:00,2.258488
2025-08-16 00:11:08.121264+00:00,2.258488
2025-08-16 00:11:32.989045+00:00,2.2584867
2025-08-16 00:11:47.845745+00:00,2.2584881
2025-08-16 00:12:13.786841+00:00,2.258488
2025-08-16 00:12:49.267078+00:00,2.2584872
2025-08-16 00:13:52.952552+00:00,2.2584875
2025-08-16 00:14:05.759342+00:00,2.258487
2025-08-16 00:14:33.472408+00:00,2.2584873
2025-08-16 00:14:45.390548+00:00,2.2584874
2025-08-16 00:14:57.250012+00:00,2.2584862
2025-08-16 00:15:24.622760+00:00,2.2584861
2025-08-16 00:15:50.213644+00:00,2.2584865
2025-08-16 00:16:02.827514+00:00,2.2584867
2025-08-16 00:16:32.705173+00:00,2.2584865
2025-08-16 00:16:55.293679+00:00,2.2584873
2025-08-16 00:17:09.745182+00:00,2.258487
2025-08-16 00:17:34.314938+00:00,2.2584875
2025-08-16 00:17:49.489509+00:00,2.2584875
2025-08-16 00:18:14.830548+00:00,2.2584861
2025-08-16 00:18:26.884865+00:00,2.2584881
2025-08-16 00:18:39.127785+00:00,2.2584875
2025-08-16 00:18:51.797803+00:00,2.2584878
2025-08-16 00:19:17.417571+00:00,2.2584876
2025-08-16 00:19:29.751760+00:00,2.2584869
2025-08-16 00:20:08.388983+00:00,2.2584871
2025-08-16 00:20:21.080910+00:00,2.2584877
2025-08-16 00:20:34.239427+00:00,2.2584868
2025-08-16 00:20:58.958661+00:00,2.2584872
2025-08-16 00:21:24.532123+00:00,2.2584868
2025-08-16 00:22:03.263497+00:00,2.2584867
2025-08-16 00:22:18.972712+00:00,2.258487
2025-08-16 00:22:29.516805+00:00,2.2584869
2025-08-16 00:22:42.729142+00:00,2.2584867
2025-08-16 00:22:55.461097+00:00,2.258487
2025-08-16 00:23:08.588314+00:00,2.2584872
2025-08-16 00:23:21.653969+00:00,2.2584867
2025-08-16 00:23:34.730541+00:00,2.258486
2025-08-16 00:23:47.785165+00:00,2.2584877
2025-08-16 00:24:01.842466+00:00,2.2584865
2025-08-16 00:24:13.527162+00:00,2.2584879
2025-08-16 00:24:28.369929+00:00,2.2584877
2025-08-16 00:24:47.899963+00:00,2.2584876
2025-08-16 00:25:06.264586+00:00,2.2584871
2025-08-16 00:25:18.860098+00:00,2.2584873
2025-08-16 00:25:44.234411+00:00,2.2584878
2025-08-16 00:26:34.762826+00:00,2.258487
2025-08-16 00:27:00.025505+00:00,2.2584871
2025-08-16 00:27:13.680052+00:00,2.2584873
2025-08-16 00:27:50.996618+00:00,2.2584878
2025-08-16 00:28:13.398543+00:00,2.2584871
2025-08-16 00:28:20.550349+00:00,2.2584867
2025-08-16 00:28:41.989571+00:00,2.2584877
2025-08-16 00:28:54.913190+00:00,2.2584878
2025-08-16 00:29:07.731594+00:00,2.2584878
2025-08-16 00:29:33.032902+00:00,2.2584874
2025-08-16 00:29:59.010415+00:00,2.2584862
2025-08-16 00:30:12.165009+00:00,2.2584865
2025-08-16 00:30:24.608133+00:00,2.2584874
2025-08-16 00:30:37.401029+00:00,2.2584872
2025-08-16 00:30:50.205403+00:00,2.2584866
2025-08-16 00:31:32.338365+00:00,2.258488
2025-08-16 00:31:44.961285+00:00,2.2584868
2025-08-16 00:31:55.648086+00:00,2.2584877
2025-08-16 00:32:48.238420+00:00,2.2584879
2025-08-16 00:33:13.449401+00:00,2.2584875
2025-08-16 00:34:05.303929+00:00,2.2584879
2025-08-16 00:34:43.060697+00:00,2.2584879
2025-08-16 00:35:21.323820+00:00,2.258487
2025-08-16 00:35:34.433138+00:00,2.2584862
2025-08-16 00:35:47.391958+00:00,2.2584875
2025-08-16 00:36:13.108722+00:00,2.2584869
2025-08-16 00:36:38.524174+00:00,2.2584878
2025-08-16 00:36:50.704051+00:00,2.2584873
2025-08-16 00:37:16.738213+00:00,2.2584869
2025-08-16 00:37:29.165949+00:00,2.2584871
2025-08-16 00:37:41.964492+00:00,2.2584879
2025-08-16 00:37:55.398007+00:00,2.2584877
2025-08-16 00:38:08.443761+00:00,2.2584862
2025-08-16 00:38:21.553593+00:00,2.2584869
2025-08-16 00:38:34.967446+00:00,2.2584873
2025-08-16 00:38:47.968715+00:00,2.2584858
2025-08-16 00:39:03.176278+00:00,2.2584866
2025-08-16 00:40:37.808443+00:00,2.2584862
2025-08-16 00:40:45.126673+00:00,2.2584869
2025-08-16 00:40:58.575003+00:00,2.2584871
