time,counts_ratio
2025-08-13 06:18:24.987908+00:00,2.2584872
2025-08-13 06:22:42.431994+00:00,2.258486
2025-08-13 06:22:56.332543+00:00,2.2584879
2025-08-13 06:23:12.867371+00:00,2.2584879
2025-08-13 06:23:34.729244+00:00,2.2584865
2025-08-13 06:23:47.232745+00:00,2.2584881
2025-08-13 06:24:00.057501+00:00,2.2584871
2025-08-13 06:24:25.809337+00:00,2.2584878
2025-08-13 06:24:51.378925+00:00,2.2584868
2025-08-13 06:25:06.688445+00:00,2.2584873
2025-08-13 06:25:43.869296+00:00,2.2584868
2025-08-13 06:26:01.938005+00:00,2.2584879
2025-08-13 06:26:09.086217+00:00,2.2584863
2025-08-13 06:26:21.647217+00:00,2.2584873
2025-08-13 06:26:35.194686+00:00,2.2584877
2025-08-13 06:26:49.058908+00:00,2.2584874
2025-08-13 06:27:13.043092+00:00,2.2584877
2025-08-13 06:27:25.613726+00:00,2.258488
2025-08-13 06:27:39.654372+00:00,2.2584878
2025-08-13 06:27:51.060082+00:00,2.2584863
2025-08-13 06:28:05.043908+00:00,2.258488
2025-08-13 06:28:18.860073+00:00,2.2584868
2025-08-13 06:28:30.904861+00:00,2.2584867
2025-08-13 06:28:43.917444+00:00,2.2584871
2025-08-13 06:29:36.649023+00:00,2.2584872
2025-08-13 06:29:49.026444+00:00,2.2584866
2025-08-13 06:30:02.557365+00:00,2.2584867
2025-08-13 06:30:15.248054+00:00,2.258487
2025-08-13 06:30:27.988896+00:00,2.2584878
2025-08-13 06:30:47.982783+00:00,2.258487
2025-08-13 06:30:53.660571+00:00,2.2584869
2025-08-13 06:31:07.721596+00:00,2.2584869
2025-08-13 06:31:19.597207+00:00,2.258487
2025-08-13 06:31:32.786620+00:00,2.2584872
2025-08-13 06:31:45.670063+00:00,2.2584881
2025-08-13 06:31:59.081550+00:00,2.2584863
2025-08-13 06:32:13.725756+00:00,2.2584876
2025-08-13 06:32:24.201870+00:00,2.2584884
2025-08-13 06:32:36.988767+00:00,2.2584877
2025-08-13 06:32:50.138057+00:00,2.2584877
2025-08-13 06:33:16.282539+00:00,2.2584879
2025-08-13 06:33:28.104241+00:00,2.258487
2025-08-13 06:33:41.112287+00:00,2.2584876
2025-08-13 06:34:07.191814+00:00,2.2584875
2025-08-13 06:34:18.846873+00:00,2.2584875
2025-08-13 06:34:31.515800+00:00,2.2584879
2025-08-13 06:34:45.530332+00:00,2.2584881
2025-08-13 06:34:58.826943+00:00,2.2584869
2025-08-13 06:35:10.007318+00:00,2.2584873
2025-08-13 06:35:22.950640+00:00,2.2584881
2025-08-13 06:35:35.930732+00:00,2.258487
2025-08-13 06:35:48.781022+00:00,2.2584879
2025-08-13 06:36:02.439896+00:00,2.2584875
2025-08-13 06:36:14.212792+00:00,2.2584865
2025-08-13 06:36:27.428355+00:00,2.258487
2025-08-13 06:36:39.770318+00:00,2.2584868
2025-08-13 06:36:53.413810+00:00,2.258487
2025-08-13 06:37:09.186850+00:00,2.2584869
2025-08-13 06:37:18.969118+00:00,2.2584876
2025-08-13 06:37:30.961934+00:00,2.2584871
2025-08-13 06:37:43.847963+00:00,2.2584879
2025-08-13 06:37:56.827893+00:00,2.2584873
2025-08-13 06:38:10.942839+00:00,2.2584864
2025-08-13 06:38:22.324060+00:00,2.2584874
2025-08-13 06:38:36.498804+00:00,2.2584868
2025-08-13 06:38:48.923732+00:00,2.2584875
2025-08-13 06:39:01.584163+00:00,2.2584881
2025-08-13 06:39:14.783235+00:00,2.2584874
2025-08-13 06:39:27.220883+00:00,2.2584877
2025-08-13 06:39:40.395248+00:00,2.2584878
2025-08-13 06:39:53.463479+00:00,2.2584878
2025-08-13 06:40:06.710172+00:00,2.2584877
2025-08-13 06:40:33.006693+00:00,2.2584871
2025-08-13 06:40:46.184689+00:00,2.2584877
2025-08-13 06:40:59.238329+00:00,2.2584865
2025-08-13 06:41:12.888512+00:00,2.2584876
2025-08-13 06:41:24.377684+00:00,2.2584874
2025-08-13 06:41:37.267762+00:00,2.2584879
2025-08-13 06:41:50.420463+00:00,2.2584881
2025-08-13 06:42:03.410719+00:00,2.2584874
2025-08-13 06:42:16.545622+00:00,2.2584878
2025-08-13 06:42:29.054019+00:00,2.2584879
2025-08-13 06:42:41.999992+00:00,2.2584879
2025-08-13 06:42:57.182336+00:00,2.258488
2025-08-13 06:43:07.702992+00:00,2.2584875
2025-08-13 06:43:23.119341+00:00,2.2584875
2025-08-13 06:43:33.942543+00:00,2.2584874
2025-08-13 06:43:46.844690+00:00,2.2584877
2025-08-13 06:43:58.152232+00:00,2.2584873
2025-08-13 06:44:11.179732+00:00,2.2584877
2025-08-13 06:44:24.843974+00:00,2.2584867
2025-08-13 06:44:36.591257+00:00,2.2584875
