time,counts_ratio
2025-06-29 06:48:43.653954+00:00,2.2584877
2025-06-29 06:48:56.557444+00:00,2.2584879
2025-06-29 06:50:00.970714+00:00,2.2584883
2025-06-29 06:51:21.680117+00:00,2.2584877
2025-06-29 06:51:29.911894+00:00,2.2584873
2025-06-29 06:51:55.195909+00:00,2.2584881
2025-06-29 06:54:00.675947+00:00,2.2584882
2025-06-29 06:56:19.440410+00:00,2.2584883
2025-06-29 06:57:34.856854+00:00,2.2584882
2025-06-29 06:59:53.086124+00:00,2.2584881
2025-06-29 07:00:58.640433+00:00,2.2584878
2025-06-29 07:01:52.782087+00:00,2.2584881
2025-06-29 07:02:01.523534+00:00,2.2584881
2025-06-29 07:02:13.617772+00:00,2.2584873
2025-06-29 07:02:28.623720+00:00,2.2584879
2025-06-29 07:06:03.800421+00:00,2.2584879
2025-06-29 07:06:38.761149+00:00,2.2584881
2025-06-29 07:06:51.174092+00:00,2.2584882
2025-06-29 07:07:08.671051+00:00,2.2584881
2025-06-29 07:07:16.641579+00:00,2.2584881
2025-06-29 07:07:41.807377+00:00,2.2584874
2025-06-29 07:08:09.123892+00:00,2.258488
2025-06-29 07:08:52.238063+00:00,2.2584884
2025-06-29 07:08:58.353502+00:00,2.2584884
2025-06-29 07:09:22.726589+00:00,2.2584883
2025-06-29 07:09:48.317124+00:00,2.2584876
2025-06-29 07:10:14.598055+00:00,2.2584882
2025-06-29 07:12:35.973036+00:00,2.2584875
2025-06-29 07:13:01.698933+00:00,2.2584882
2025-06-29 07:16:48.752875+00:00,2.258488
2025-06-29 07:16:59.824215+00:00,2.2584879
2025-06-29 07:17:13.513803+00:00,2.2584882
2025-06-29 07:17:50.388555+00:00,2.258488
2025-06-29 07:18:03.636502+00:00,2.2584876
2025-06-29 07:18:16.000593+00:00,2.2584882
2025-06-29 07:18:53.723201+00:00,2.2584883
2025-06-29 07:19:06.907306+00:00,2.2584884
2025-06-29 07:19:20.438225+00:00,2.258488
2025-06-29 07:19:57.876349+00:00,2.2584883
2025-06-29 07:20:10.972572+00:00,2.2584877
2025-06-29 07:20:25.807302+00:00,2.2584881
2025-06-29 07:20:49.128174+00:00,2.2584882
2025-06-29 07:21:01.998098+00:00,2.2584883
2025-06-29 07:21:14.650454+00:00,2.2584878
2025-06-29 07:21:27.091972+00:00,2.2584879
2025-06-29 07:21:39.801423+00:00,2.2584884
2025-06-29 07:21:54.381435+00:00,2.2584884
2025-06-29 07:22:31.098907+00:00,2.2584883
2025-06-29 07:22:44.761563+00:00,2.2584882
2025-06-29 07:22:55.707830+00:00,2.2584881
2025-06-29 07:23:20.733906+00:00,2.2584881
2025-06-29 07:23:35.453100+00:00,2.2584881
2025-06-29 07:24:11.287858+00:00,2.2584881
2025-06-29 07:24:48.739270+00:00,2.2584881
2025-06-29 07:25:01.232294+00:00,2.2584884
2025-06-29 07:25:14.991257+00:00,2.2584881
2025-06-29 07:25:50.948184+00:00,2.2584884
2025-06-29 07:26:42.562090+00:00,2.2584877
2025-06-29 07:26:54.115643+00:00,2.2584884
2025-06-29 07:27:06.733382+00:00,2.2584883
2025-06-29 07:27:19.690051+00:00,2.2584878
2025-06-29 07:27:32.217046+00:00,2.258488
2025-06-29 07:27:45.691322+00:00,2.2584881
2025-06-29 07:27:57.454464+00:00,2.2584883
2025-06-29 07:28:09.787262+00:00,2.2584884
2025-06-29 07:28:34.747240+00:00,2.2584882
2025-06-29 07:28:59.835385+00:00,2.2584883
2025-06-29 07:29:44.649438+00:00,2.258488
2025-06-29 07:30:03.681765+00:00,2.2584881
2025-06-29 07:30:19.013130+00:00,2.2584884
2025-06-29 07:30:53.961208+00:00,2.2584883
