time,counts_ratio
2025-01-02 12:14:29.354350+00:00,2.258486
2025-01-02 14:26:32.729874+00:00,2.2584869
2025-01-02 14:26:59.396481+00:00,2.2584866
2025-01-02 14:27:12.467232+00:00,2.2584868
2025-01-02 14:27:23.019941+00:00,2.2584859
2025-01-02 14:28:51.277547+00:00,2.2584861
2025-01-02 14:32:40.534558+00:00,2.2584858
2025-01-02 14:32:53.851152+00:00,2.258486
2025-01-02 14:33:07.186673+00:00,2.2584861
2025-01-02 14:33:20.508403+00:00,2.2584869
2025-01-02 14:33:34.691879+00:00,2.2584868
2025-01-02 14:34:50.511045+00:00,2.2584869
2025-01-02 14:35:15.455870+00:00,2.2584876
2025-01-02 14:36:30.472711+00:00,2.2584864
2025-01-02 14:41:31.706444+00:00,2.2584863
2025-01-02 14:45:07.228248+00:00,2.2584871
2025-01-02 14:45:20.468504+00:00,2.2584875
2025-01-02 14:45:59.085232+00:00,2.2584859
2025-01-02 14:46:12.041252+00:00,2.2584878
2025-01-02 14:46:25.428853+00:00,2.2584871
2025-01-02 14:47:28.918810+00:00,2.2584863
2025-01-02 14:48:19.382932+00:00,2.258486
2025-01-02 14:50:37.658862+00:00,2.2584874
2025-01-02 14:52:04.764725+00:00,2.2584862
2025-01-02 14:58:09.274958+00:00,2.2584864
2025-01-02 14:58:13.908554+00:00,2.258487
2025-01-02 14:58:39.372493+00:00,2.2584859
2025-01-02 15:00:08.645612+00:00,2.2584868
2025-01-02 15:08:54.593087+00:00,2.2584871
2025-01-02 15:12:57.065647+00:00,2.2584877
2025-01-02 15:13:59.782443+00:00,2.2584867
2025-01-02 15:14:12.635162+00:00,2.2584876
2025-01-02 15:14:25.440825+00:00,2.2584879
2025-01-02 15:14:51.030237+00:00,2.2584861
2025-01-02 15:18:00.478291+00:00,2.2584862
2025-01-02 15:18:25.522645+00:00,2.2584882
2025-01-02 15:20:44.802647+00:00,2.2584868
2025-01-02 15:21:12.616569+00:00,2.2584861
2025-01-02 15:22:00.834418+00:00,2.2584865
2025-01-02 15:24:32.604022+00:00,2.258487
2025-01-02 15:26:24.642084+00:00,2.2584883
2025-01-02 15:27:16.058180+00:00,2.2584874
