time,counts_ratio
2025-08-09 07:29:40.719876+00:00,2.2584875
2025-08-09 07:34:11.732209+00:00,2.2584869
2025-08-09 07:34:24.607197+00:00,2.2584875
2025-08-09 07:35:03.632458+00:00,2.258487
2025-08-09 07:35:16.678680+00:00,2.2584874
2025-08-09 07:35:29.541708+00:00,2.2584858
2025-08-09 07:36:33.942587+00:00,2.2584882
2025-08-09 07:36:46.907219+00:00,2.2584875
2025-08-09 07:36:59.789656+00:00,2.2584882
2025-08-09 07:37:12.634856+00:00,2.2584871
2025-08-09 07:37:51.671137+00:00,2.2584881
2025-08-09 07:38:04.928057+00:00,2.2584859
2025-08-09 07:38:44.304348+00:00,2.2584866
2025-08-09 07:39:50.558617+00:00,2.2584866
2025-08-09 07:40:17.701534+00:00,2.2584865
2025-08-09 07:40:42.974987+00:00,2.258486
2025-08-09 07:40:56.949694+00:00,2.2584864
2025-08-09 07:41:34.896953+00:00,2.2584866
2025-08-09 07:42:02.775169+00:00,2.2584882
2025-08-09 07:42:26.392958+00:00,2.2584873
2025-08-09 07:42:39.268295+00:00,2.2584871
2025-08-09 07:42:52.423780+00:00,2.2584869
2025-08-09 07:43:17.311454+00:00,2.2584865
2025-08-09 07:43:42.780871+00:00,2.2584881
2025-08-09 07:44:21.128740+00:00,2.2584876
2025-08-09 07:44:47.017477+00:00,2.258488
2025-08-09 07:45:12.526314+00:00,2.2584866
2025-08-09 07:45:25.444750+00:00,2.2584865
2025-08-09 07:45:38.583047+00:00,2.2584864
2025-08-09 07:45:51.357247+00:00,2.2584864
2025-08-09 07:46:04.553388+00:00,2.2584872
2025-08-09 07:46:17.617877+00:00,2.258488
2025-08-09 07:46:30.488234+00:00,2.2584882
2025-08-09 07:46:43.349495+00:00,2.2584869
2025-08-09 07:46:56.259779+00:00,2.2584871
2025-08-09 07:47:22.095446+00:00,2.2584875
2025-08-09 07:47:35.421442+00:00,2.2584874
2025-08-09 07:47:47.871743+00:00,2.2584877
2025-08-09 07:48:13.776222+00:00,2.2584884
2025-08-09 07:48:26.676515+00:00,2.2584883
2025-08-09 07:48:39.680425+00:00,2.2584875
2025-08-09 07:48:52.640915+00:00,2.2584866
2025-08-09 07:49:07.908667+00:00,2.2584868
2025-08-09 07:49:18.706997+00:00,2.2584877
2025-08-09 07:49:32.601365+00:00,2.2584868
2025-08-09 07:49:45.210712+00:00,2.2584869
2025-08-09 07:49:58.258815+00:00,2.2584866
2025-08-09 07:50:15.402222+00:00,2.2584862
2025-08-09 07:50:25.043744+00:00,2.2584872
2025-08-09 07:50:38.270573+00:00,2.2584865
2025-08-09 07:50:51.223547+00:00,2.2584863
2025-08-09 07:51:04.542171+00:00,2.2584865
2025-08-09 07:51:18.108549+00:00,2.2584871
2025-08-09 07:51:31.250367+00:00,2.2584861
2025-08-09 07:51:43.933726+00:00,2.2584865
2025-08-09 07:51:56.964927+00:00,2.2584861
2025-08-09 07:52:10.211900+00:00,2.2584864
2025-08-09 07:52:23.130691+00:00,2.2584881
2025-08-09 07:52:36.162695+00:00,2.2584873
2025-08-09 07:52:49.322169+00:00,2.2584873
2025-08-09 07:53:16.345004+00:00,2.2584879
2025-08-09 07:53:28.213013+00:00,2.2584867
2025-08-09 07:53:41.758253+00:00,2.258488
2025-08-09 07:53:53.845048+00:00,2.2584873
2025-08-09 07:54:06.870658+00:00,2.2584878
2025-08-09 07:54:19.633980+00:00,2.2584875
2025-08-09 07:54:32.664329+00:00,2.2584872
2025-08-09 07:54:46.175407+00:00,2.2584876
2025-08-09 07:54:57.851340+00:00,2.2584874
2025-08-09 07:55:14.553600+00:00,2.2584876
2025-08-09 07:55:26.027341+00:00,2.2584884
2025-08-09 07:55:36.613412+00:00,2.2584862
2025-08-09 07:55:49.305909+00:00,2.2584873
2025-08-09 07:56:02.026886+00:00,2.2584876
2025-08-09 07:56:29.514566+00:00,2.2584875
2025-08-09 07:56:40.978592+00:00,2.2584869
2025-08-09 07:56:53.631336+00:00,2.2584875
2025-08-09 07:57:07.116423+00:00,2.2584865
2025-08-09 07:57:19.471826+00:00,2.2584867
2025-08-09 07:57:32.258747+00:00,2.2584871
2025-08-09 07:57:57.776561+00:00,2.2584871
2025-08-09 07:58:10.933179+00:00,2.2584874
2025-08-09 07:58:23.510102+00:00,2.2584872
2025-08-09 07:58:50.151471+00:00,2.2584865
2025-08-09 07:59:15.320410+00:00,2.2584877
2025-08-09 07:59:28.081891+00:00,2.2584874
2025-08-09 07:59:41.391425+00:00,2.258487
2025-08-09 07:59:53.774000+00:00,2.2584872
2025-08-09 08:00:07.002800+00:00,2.2584876
2025-08-09 08:00:33.304172+00:00,2.2584879
2025-08-09 08:00:44.993140+00:00,2.2584868
2025-08-09 08:00:57.943649+00:00,2.2584861
2025-08-09 08:01:11.134544+00:00,2.2584881
2025-08-09 08:01:24.427316+00:00,2.2584876
2025-08-09 08:01:37.113867+00:00,2.2584878
2025-08-09 08:01:50.017330+00:00,2.2584873
2025-08-09 08:02:03.057400+00:00,2.2584878
2025-08-09 08:02:15.983586+00:00,2.2584882
2025-08-09 08:02:29.373407+00:00,2.2584879
2025-08-09 08:02:41.884205+00:00,2.2584878
2025-08-09 08:02:54.691557+00:00,2.2584878
2025-08-09 08:03:07.765746+00:00,2.2584882
2025-08-09 08:03:20.508401+00:00,2.2584877
2025-08-09 08:03:33.469656+00:00,2.2584876
2025-08-09 08:03:46.690809+00:00,2.2584871
2025-08-09 08:03:59.813559+00:00,2.258487
2025-08-09 08:04:12.100124+00:00,2.2584868
2025-08-09 08:04:25.150422+00:00,2.2584869
2025-08-09 08:04:38.161532+00:00,2.2584876
2025-08-09 08:04:51.503378+00:00,2.2584882
2025-08-09 08:05:07.372409+00:00,2.2584867
2025-08-09 08:05:17.729528+00:00,2.2584873
2025-08-09 08:05:31.079858+00:00,2.2584873
2025-08-09 08:05:44.559566+00:00,2.2584861
2025-08-09 08:05:57.382586+00:00,2.2584866
2025-08-09 08:06:11.193817+00:00,2.2584878
2025-08-09 08:06:23.723898+00:00,2.2584875
2025-08-09 08:06:37.313881+00:00,2.2584874
2025-08-09 08:06:50.401262+00:00,2.2584872
2025-08-09 08:07:07.226301+00:00,2.2584868
2025-08-09 08:07:16.634465+00:00,2.258487
2025-08-09 08:07:29.525253+00:00,2.258486
2025-08-09 08:07:42.593984+00:00,2.2584869
2025-08-09 08:07:55.761155+00:00,2.2584875
2025-08-09 08:08:08.694291+00:00,2.258487
2025-08-09 08:08:22.404845+00:00,2.2584874
2025-08-09 08:08:34.873708+00:00,2.2584878
2025-08-09 08:08:47.980646+00:00,2.2584875
2025-08-09 08:09:00.918545+00:00,2.2584868
2025-08-09 08:09:13.614475+00:00,2.2584879
2025-08-09 08:09:26.413417+00:00,2.2584875
2025-08-09 08:09:39.420129+00:00,2.2584874
2025-08-09 08:09:51.754981+00:00,2.2584877
2025-08-09 08:10:06.162015+00:00,2.2584876
2025-08-09 08:10:20.238572+00:00,2.2584874
2025-08-09 08:10:30.262455+00:00,2.2584873
2025-08-09 08:10:44.377986+00:00,2.2584879
2025-08-09 08:10:58.427507+00:00,2.2584876
2025-08-09 08:11:08.452376+00:00,2.2584875
2025-08-09 08:11:21.445831+00:00,2.258488
2025-08-09 08:11:34.372284+00:00,2.258488
2025-08-09 08:11:48.457773+00:00,2.2584876
2025-08-09 08:12:01.360187+00:00,2.2584872
2025-08-09 08:12:13.525879+00:00,2.2584877
2025-08-09 08:12:26.855735+00:00,2.2584864
2025-08-09 08:12:40.308772+00:00,2.258486
2025-08-09 08:12:52.659979+00:00,2.258487
2025-08-09 08:13:06.234349+00:00,2.2584878
2025-08-09 08:13:18.074516+00:00,2.2584872
2025-08-09 08:13:31.000300+00:00,2.2584869
2025-08-09 08:13:43.674912+00:00,2.258488
2025-08-09 08:13:56.624924+00:00,2.2584878
2025-08-09 08:14:09.592800+00:00,2.2584866
2025-08-09 08:14:22.565525+00:00,2.2584876
2025-08-09 08:14:35.192485+00:00,2.2584879
2025-08-09 08:14:48.808444+00:00,2.258488
2025-08-09 08:15:01.522778+00:00,2.2584869
2025-08-09 08:15:14.620326+00:00,2.2584877
2025-08-09 08:15:28.207038+00:00,2.2584875
2025-08-09 08:15:41.215229+00:00,2.2584876
2025-08-09 08:15:54.471572+00:00,2.2584869
2025-08-09 08:16:09.521930+00:00,2.2584876
2025-08-09 08:16:20.895483+00:00,2.2584867
2025-08-09 08:16:34.480504+00:00,2.2584863
2025-08-09 08:16:47.563569+00:00,2.2584865
2025-08-09 08:17:00.912619+00:00,2.2584867
2025-08-09 08:17:13.729666+00:00,2.2584871
2025-08-09 08:17:27.797754+00:00,2.2584879
2025-08-09 08:17:39.997054+00:00,2.2584877
2025-08-09 08:17:55.978879+00:00,2.2584879
2025-08-09 08:18:07.754301+00:00,2.2584873
2025-08-09 08:18:20.818241+00:00,2.2584868
2025-08-09 08:18:32.475342+00:00,2.2584873
2025-08-09 08:18:45.293691+00:00,2.2584871
2025-08-09 08:18:58.193933+00:00,2.2584876
2025-08-09 08:19:12.461487+00:00,2.2584873
2025-08-09 08:19:23.952669+00:00,2.2584875
2025-08-09 08:19:36.917581+00:00,2.2584862
2025-08-09 08:19:49.935914+00:00,2.258487
2025-08-09 08:20:02.872818+00:00,2.2584871
2025-08-09 08:20:17.213734+00:00,2.2584871
2025-08-09 08:20:28.016166+00:00,2.258488
2025-08-09 08:20:41.025654+00:00,2.2584875
2025-08-09 08:20:53.515674+00:00,2.2584881
